,gray,violet,blue,green,yellow,orange,red,brown,target
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04,
0,5012,0,66475,0,0,51548,0,104101,1
1,8461,0,84013,0,0,42614,0,92048,0
2,27101,0,45398,0,0,51277,0,103360,1
3,23992,0,79882,0,0,40349,0,82913,0
4,15075,0,61161,0,0,57718,0,93182,1
5,31366,0,67158,0,0,40733,0,87879,0
6,12543,0,57588,0,0,49864,0,107141,1
7,18637,0,71849,0,0,33257,0,103393,1
8,15635,0,102797,0,0,39332,0,69372,0
9,6886,0,71405,0,0,55204,0,93641,1
10,27002,0,71644,0,0,32737,0,95753,1
11,34784,0,54585,0,0,43965,0,93802,1
12,32879,0,65076,0,0,39151,0,90030,0
13,34193,0,80839,0,0,29982,0,82122,0
14,13665,0,84030,0,462,46424,0,82555,1
15,13345,0,80280,0,0,44886,0,88625,0
16,16849,0,68013,0,0,35855,0,106419,1
17,8939,0,64418,0,0,48160,0,105619,1
18,7757,0,62023,0,0,45927,0,111429,1
19,37425,0,69720,0,5873,39420,0,74698,1
20,15143,0,71028,0,0,49415,0,91550,1
21,31516,0,66666,0,0,31589,0,97365,1
22,25690,0,68868,0,0,48877,0,83701,1
23,25331,0,69627,0,0,44168,0,88010,0
24,15660,0,81483,0,0,36564,0,93429,1
25,12359,0,55527,0,0,58430,0,100820,1
26,26322,0,68194,0,0,45129,0,87491,0
27,3793,0,90667,0,0,51971,0,80705,1
28,25252,0,67272,0,0,41713,0,92899,0
29,16890,0,70799,0,0,51668,0,87779,1
30,14715,0,66143,0,0,50140,0,96138,1
31,19379,0,77219,0,0,51431,0,79107,1
32,16596,0,67265,0,0,52957,0,90318,1
33,13467,0,59107,0,0,44609,0,109953,1
34,8249,0,91573,0,0,46171,0,81143,0
35,27677,0,76041,0,0,40218,0,83200,0
36,13925,0,70442,0,0,38607,0,104162,1
37,12054,0,47013,0,0,39763,0,128306,1
38,25154,0,68742,0,0,41580,0,91660,0
39,23501,0,73784,0,0,37542,0,92309,0
40,10741,0,93795,0,0,40118,0,82482,0
41,23325,0,75012,0,0,46768,0,82031,1
42,19182,0,72256,0,0,40328,0,95370,1
43,17074,0,77872,0,0,36118,0,96072,1
44,16808,0,58756,0,0,56746,0,94826,1
45,28367,0,69068,0,0,40469,0,89232,0
46,19051,0,68122,0,0,42588,0,97375,1
47,58275,0,63918,0,0,30048,0,74895,0
48,5485,0,64185,0,42,70426,0,86998,1
49,19273,0,63954,0,0,36687,0,107222,1
50,24311,0,73483,0,0,37737,0,91605,0
51,29161,0,55311,0,398,51959,0,90307,1
52,17277,0,74725,0,0,54424,0,80710,1
53,15475,0,73171,0,0,36548,0,101942,1
54,26640,0,57329,0,0,44423,0,98744,1
55,13100,0,56141,0,0,36605,0,121290,1
56,14722,0,93231,0,0,30179,0,89004,0
57,15199,0,89320,0,0,46355,0,76262,0
58,14158,0,73560,0,0,52380,0,87038,1
59,21003,0,54702,0,0,49994,0,101437,1
60,18825,0,62408,0,0,55750,0,90153,1
61,29427,0,81301,0,0,34680,0,81728,0
62,15228,0,70769,0,0,45215,0,95924,1
63,6451,0,64745,0,0,51822,0,104118,1
64,26170,0,79326,0,0,40264,0,81376,0
65,24205,0,83839,0,0,35385,0,83707,0
66,21972,0,76195,0,0,47752,0,81217,1
67,11474,0,69633,0,0,38003,0,108026,1
68,17512,0,96451,0,0,39102,0,74071,0
69,35271,0,66601,0,0,35151,0,90113,0
70,17698,0,79137,0,0,40464,0,89837,0
71,4022,0,79952,0,0,54587,0,88575,1
72,10555,0,46582,0,0,57654,0,112345,1
73,5197,0,81610,0,0,57917,0,82412,1
74,22015,0,73781,0,0,44775,0,86565,0
75,21569,0,70901,0,0,47915,0,86751,1
76,9576,0,60738,0,0,61849,0,94973,1
77,7337,0,61855,0,0,62229,0,95715,1
78,22455,0,76649,0,0,36340,0,91692,0
79,17901,0,63285,0,0,54585,0,91365,1
80,7639,0,54286,0,0,67396,0,97815,1
81,18540,0,71283,0,0,44676,0,92637,0
82,10672,0,65103,0,0,54494,0,96867,1
83,18814,0,76826,0,0,42750,0,88746,0
84,7361,0,70102,0,0,53454,0,96219,1
85,24684,0,75150,0,0,35168,0,92134,0
86,19475,0,55165,0,0,59823,0,92673,1
87,18321,0,65754,0,0,41483,0,101578,1
88,18815,0,54252,0,0,43429,0,110640,1
89,31337,0,88521,0,0,24862,0,82416,0
90,23262,0,64762,0,0,40023,0,99089,1
91,35612,0,68513,0,0,42697,0,80314,0
92,24527,0,63694,0,0,55863,0,83052,1
93,13079,0,49638,0,479,59810,0,104130,1
94,18636,0,72354,0,0,40426,0,95720,1
95,14543,0,72262,0,0,43178,0,97153,1
96,11768,0,67786,0,0,54768,0,92814,1
97,33889,0,66549,0,0,38218,0,88480,0
98,13306,0,65567,0,0,44905,0,103358,1
99,14239,0,52057,0,0,51687,0,109153,1
100,21497,0,75232,0,0,36914,0,93493,1
101,19900,0,66968,0,0,41741,0,98527,1
102,35398,0,69849,0,0,31990,0,89899,0
103,43901,0,56496,0,609,48078,0,78052,1
104,23760,0,63524,0,0,41387,0,98465,1
105,35760,0,69306,0,0,30839,0,91231,0
106,17968,0,77595,0,0,42507,0,89066,0
107,14176,0,63478,0,0,39664,0,109818,1
108,15365,0,65233,0,0,57485,0,89053,1
109,29512,0,63596,0,0,45085,0,88943,0
110,31976,0,60556,0,0,56664,0,77940,1
111,15159,0,68789,0,0,44329,0,98859,1
112,14469,0,84161,0,160,54840,0,73506,1
113,17049,0,60926,0,0,38727,0,110434,1
114,23930,0,58230,0,0,37991,0,106985,1
115,16577,0,80031,0,0,38668,0,91860,0
116,21814,0,65327,0,0,39435,0,100560,1
117,13449,0,48054,0,0,56061,0,109572,1
118,8267,0,71737,0,0,61982,0,85150,1
119,15354,0,66301,0,0,39294,0,106187,1
120,9937,0,58665,0,0,65275,0,93259,1
121,13458,0,61692,0,0,41908,0,110078,1
122,8298,0,62648,0,0,44986,0,111204,1
123,21990,0,66136,0,0,57591,0,81419,1
124,25014,0,74184,0,0,39383,0,88555,0
125,14521,0,62848,0,0,51107,0,98660,1
126,14378,0,58532,0,0,51891,0,102335,1
127,16824,0,67873,0,0,33881,0,108558,1
128,18818,0,60785,0,0,49739,0,97794,1
129,43321,0,77341,0,0,29279,0,77195,0
130,40732,0,57601,0,0,45807,0,82996,0
131,13032,0,41886,0,157,58377,0,113684,1
132,32309,0,66107,0,0,36477,0,92243,0
133,25118,0,68815,0,0,43700,0,89503,0
134,8012,0,64002,0,0,55410,0,99712,1
135,20423,0,68814,0,0,43968,0,93931,1
136,7040,0,61347,0,0,62173,0,96576,1
137,17531,0,73966,0,0,33807,0,101832,1
138,30214,0,77353,0,0,40142,0,79427,0
139,30177,0,52754,0,0,56766,0,87439,1
140,27547,0,71510,0,0,39615,0,88464,0
141,28343,0,78544,0,0,23958,0,96291,1
142,10794,0,59428,0,0,62209,0,94705,1
143,36771,0,67429,0,0,39212,0,83724,0
144,16161,0,55872,0,0,47674,0,107429,1
145,10728,0,54610,0,0,73026,0,88772,1
146,30768,0,60480,0,0,49323,0,86565,1
147,30192,0,66594,0,0,34471,0,95879,1
148,18825,0,66838,0,0,47626,0,93847,1
149,15378,0,89052,0,0,26172,0,96534,1
150,11864,0,64275,0,0,45988,0,105009,1
151,26161,0,58849,0,0,39180,0,102946,1
152,5486,0,57077,0,0,65146,0,99427,1
153,6527,0,53122,0,0,66179,0,101308,1
154,8270,0,62518,0,0,61122,0,95226,1
155,46571,0,50699,0,0,43333,0,86533,0
156,17736,0,73562,0,0,41446,0,94392,1
157,11953,0,64980,0,0,58416,0,91787,1
158,12987,0,79366,0,0,46917,0,87866,1
159,10737,0,76392,0,0,58914,0,81093,1
160,13247,0,60406,0,0,38252,0,115231,1
161,13765,0,60403,0,0,37260,0,115708,1
162,18603,0,61446,0,0,38733,0,108354,1
163,16972,0,79527,0,0,37506,0,93131,0
164,31088,0,69239,0,0,31089,0,95720,1
165,12837,0,71371,0,0,49105,0,93823,1
166,13924,0,63548,0,0,41932,0,107732,1
167,44764,0,59460,0,0,29464,0,93448,1
168,2469,0,74761,0,0,57225,0,92681,1
169,21279,0,50358,0,0,46091,0,109408,1
170,22863,0,57312,0,0,42417,0,104544,1
171,21074,0,65441,0,16,51601,0,89004,1
172,20158,0,53246,0,3,52402,0,101327,1
173,14284,0,72736,0,0,50419,0,89697,1
174,26153,0,65606,0,0,40168,0,95209,1
175,11304,0,76126,0,0,38998,0,100708,1
176,18050,0,62534,0,0,43418,0,103134,1
177,18873,0,55423,0,0,53777,0,99063,1
178,29744,0,54759,0,2077,52295,0,88261,1
179,29152,0,74156,0,0,34862,0,88966,0
180,15706,0,77764,0,0,47899,0,85767,1
181,30993,0,74520,0,0,28108,0,93515,1
182,33090,0,59343,0,0,33199,0,101504,1
183,18155,0,77731,0,0,51193,0,80057,1
184,15977,0,65736,0,0,44546,0,100877,1
185,17656,0,52731,0,0,62945,0,93804,1
186,6159,0,71625,0,0,49069,0,100283,1
187,19412,0,67755,0,0,45433,0,94536,1
188,19080,0,50150,0,0,59499,0,98407,1
189,18660,0,62572,0,0,60331,0,85573,1
190,8246,0,86634,0,0,45887,0,86369,0
191,10024,0,53696,0,0,58381,0,105035,1
192,5790,0,63807,0,0,65759,0,91780,1
193,7772,0,40222,0,0,75439,0,103703,1
194,23117,0,79386,0,0,37729,0,86904,0
195,16657,0,68082,0,0,42056,0,100341,1
196,19933,0,94768,0,0,34131,0,78304,0
197,12437,0,56427,0,0,68244,0,90028,1
198,18788,0,68935,0,0,54815,0,84598,1
199,15199,0,65203,0,0,50152,0,96582,1
200,50334,0,64618,0,0,33334,0,78850,0
201,13995,0,70742,0,0,45971,0,96428,1
202,12617,0,74440,0,0,67825,0,72254,1
203,9150,0,92053,0,0,43988,0,81945,0
204,48897,0,49696,0,1947,59882,0,66714,1
205,2310,0,66858,0,0,78691,0,79277,1
206,16700,0,45177,0,0,49687,0,115572,1
207,21043,0,63748,0,276,51776,0,90293,1
208,30597,0,66077,0,2529,35589,0,92344,1
209,5432,0,68287,0,0,52508,0,100909,1
210,19096,0,88504,0,0,30369,0,89167,0
211,28713,0,67207,0,0,42329,0,88887,0
212,10860,0,77071,0,0,37162,0,102043,1
213,23765,0,60959,0,0,44773,0,97639,1
214,6941,0,73152,0,0,57615,0,89428,1
215,19366,0,51794,0,0,50566,0,105410,1
216,15507,0,61052,0,0,40529,0,110048,1
217,13769,0,57450,0,0,51411,0,104506,1
