,gray,violet,blue,green,yellow,orange,red,brown
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04
0,2.21,0.0,29.27,0.0,0.0,22.69,0.0,45.83
1,3.73,0.0,36.99,0.0,0.0,18.76,0.0,40.53
2,11.93,0.0,19.99,0.0,0.0,22.58,0.0,45.51
3,10.56,0.0,35.17,0.0,0.0,17.76,0.0,36.5
4,6.64,0.0,26.93,0.0,0.0,25.41,0.0,41.02
5,13.81,0.0,29.57,0.0,0.0,17.93,0.0,38.69
6,5.52,0.0,25.35,0.0,0.0,21.95,0.0,47.17
7,8.21,0.0,31.63,0.0,0.0,14.64,0.0,45.52
8,6.88,0.0,45.26,0.0,0.0,17.32,0.0,30.54
9,3.03,0.0,31.44,0.0,0.0,24.3,0.0,41.23
10,11.89,0.0,31.54,0.0,0.0,14.41,0.0,42.16
11,15.31,0.0,24.03,0.0,0.0,19.36,0.0,41.3
12,14.48,0.0,28.65,0.0,0.0,17.24,0.0,39.64
13,15.05,0.0,35.59,0.0,0.0,13.2,0.0,36.16
14,6.02,0.0,37.0,0.0,0.2,20.44,0.0,36.35
15,5.88,0.0,35.34,0.0,0.0,19.76,0.0,39.02
16,7.42,0.0,29.94,0.0,0.0,15.79,0.0,46.85
17,3.94,0.0,28.36,0.0,0.0,21.2,0.0,46.5
18,3.42,0.0,27.31,0.0,0.0,20.22,0.0,49.06
19,16.48,0.0,30.7,0.0,2.59,17.36,0.0,32.89
20,6.67,0.0,31.27,0.0,0.0,21.76,0.0,40.31
21,13.88,0.0,29.35,0.0,0.0,13.91,0.0,42.87
22,11.31,0.0,30.32,0.0,0.0,21.52,0.0,36.85
23,11.15,0.0,30.65,0.0,0.0,19.45,0.0,38.75
24,6.89,0.0,35.87,0.0,0.0,16.1,0.0,41.13
25,5.44,0.0,24.45,0.0,0.0,25.72,0.0,44.39
26,11.59,0.0,30.02,0.0,0.0,19.87,0.0,38.52
27,1.67,0.0,39.92,0.0,0.0,22.88,0.0,35.53
28,11.12,0.0,29.62,0.0,0.0,18.36,0.0,40.9
29,7.44,0.0,31.17,0.0,0.0,22.75,0.0,38.65
30,6.48,0.0,29.12,0.0,0.0,22.07,0.0,42.33
31,8.53,0.0,34.0,0.0,0.0,22.64,0.0,34.83
32,7.31,0.0,29.61,0.0,0.0,23.32,0.0,39.76
33,5.93,0.0,26.02,0.0,0.0,19.64,0.0,48.41
34,3.63,0.0,40.32,0.0,0.0,20.33,0.0,35.72
35,12.19,0.0,33.48,0.0,0.0,17.71,0.0,36.63
36,6.13,0.0,31.01,0.0,0.0,17.0,0.0,45.86
37,5.31,0.0,20.7,0.0,0.0,17.51,0.0,56.49
38,11.07,0.0,30.26,0.0,0.0,18.31,0.0,40.35
39,10.35,0.0,32.48,0.0,0.0,16.53,0.0,40.64
40,4.73,0.0,41.29,0.0,0.0,17.66,0.0,36.31
41,10.27,0.0,33.03,0.0,0.0,20.59,0.0,36.12
42,8.45,0.0,31.81,0.0,0.0,17.76,0.0,41.99
43,7.52,0.0,34.28,0.0,0.0,15.9,0.0,42.3
44,7.4,0.0,25.87,0.0,0.0,24.98,0.0,41.75
45,12.49,0.0,30.41,0.0,0.0,17.82,0.0,39.29
46,8.39,0.0,29.99,0.0,0.0,18.75,0.0,42.87
47,25.66,0.0,28.14,0.0,0.0,13.23,0.0,32.97
48,2.41,0.0,28.26,0.0,0.02,31.01,0.0,38.3
49,8.49,0.0,28.16,0.0,0.0,16.15,0.0,47.21
50,10.7,0.0,32.35,0.0,0.0,16.61,0.0,40.33
51,12.84,0.0,24.35,0.0,0.18,22.88,0.0,39.76
52,7.61,0.0,32.9,0.0,0.0,23.96,0.0,35.53
53,6.81,0.0,32.21,0.0,0.0,16.09,0.0,44.88
54,11.73,0.0,25.24,0.0,0.0,19.56,0.0,43.47
55,5.77,0.0,24.72,0.0,0.0,16.12,0.0,53.4
56,6.48,0.0,41.05,0.0,0.0,13.29,0.0,39.19
57,6.69,0.0,39.32,0.0,0.0,20.41,0.0,33.58
58,6.23,0.0,32.39,0.0,0.0,23.06,0.0,38.32
59,9.25,0.0,24.08,0.0,0.0,22.01,0.0,44.66
60,8.29,0.0,27.48,0.0,0.0,24.54,0.0,39.69
61,12.96,0.0,35.79,0.0,0.0,15.27,0.0,35.98
62,6.7,0.0,31.16,0.0,0.0,19.91,0.0,42.23
63,2.84,0.0,28.5,0.0,0.0,22.82,0.0,45.84
64,11.52,0.0,34.92,0.0,0.0,17.73,0.0,35.83
65,10.66,0.0,36.91,0.0,0.0,15.58,0.0,36.85
66,9.67,0.0,33.55,0.0,0.0,21.02,0.0,35.76
67,5.05,0.0,30.66,0.0,0.0,16.73,0.0,47.56
68,7.71,0.0,42.46,0.0,0.0,17.22,0.0,32.61
69,15.53,0.0,29.32,0.0,0.0,15.48,0.0,39.67
70,7.79,0.0,34.84,0.0,0.0,17.81,0.0,39.55
71,1.77,0.0,35.2,0.0,0.0,24.03,0.0,39.0
72,4.65,0.0,20.51,0.0,0.0,25.38,0.0,49.46
73,2.29,0.0,35.93,0.0,0.0,25.5,0.0,36.28
74,9.69,0.0,32.48,0.0,0.0,19.71,0.0,38.11
75,9.5,0.0,31.22,0.0,0.0,21.1,0.0,38.19
76,4.22,0.0,26.74,0.0,0.0,27.23,0.0,41.81
77,3.23,0.0,27.23,0.0,0.0,27.4,0.0,42.14
78,9.89,0.0,33.75,0.0,0.0,16.0,0.0,40.37
79,7.88,0.0,27.86,0.0,0.0,24.03,0.0,40.22
80,3.36,0.0,23.9,0.0,0.0,29.67,0.0,43.06
81,8.16,0.0,31.38,0.0,0.0,19.67,0.0,40.78
82,4.7,0.0,28.66,0.0,0.0,23.99,0.0,42.65
83,8.28,0.0,33.82,0.0,0.0,18.82,0.0,39.07
84,3.24,0.0,30.86,0.0,0.0,23.53,0.0,42.36
85,10.87,0.0,33.09,0.0,0.0,15.48,0.0,40.56
86,8.57,0.0,24.29,0.0,0.0,26.34,0.0,40.8
87,8.07,0.0,28.95,0.0,0.0,18.26,0.0,44.72
88,8.28,0.0,23.89,0.0,0.0,19.12,0.0,48.71
89,13.8,0.0,38.97,0.0,0.0,10.95,0.0,36.28
90,10.24,0.0,28.51,0.0,0.0,17.62,0.0,43.63
91,15.68,0.0,30.16,0.0,0.0,18.8,0.0,35.36
92,10.8,0.0,28.04,0.0,0.0,24.59,0.0,36.56
93,5.76,0.0,21.85,0.0,0.21,26.33,0.0,45.84
94,8.2,0.0,31.85,0.0,0.0,17.8,0.0,42.14
95,6.4,0.0,31.81,0.0,0.0,19.01,0.0,42.77
96,5.18,0.0,29.84,0.0,0.0,24.11,0.0,40.86
97,14.92,0.0,29.3,0.0,0.0,16.83,0.0,38.95
